name,gender,count,Probability
Letisia,F,987,2.70116e-06
Lamirra,F,5,1.36837e-08
Azlan,F,8,2.18939e-08
Wannie,F,39,1.06733e-07
Kharizma,F,98,2.68201e-07
Trishia,F,772,2.11276e-06
Mahrianne,F,1,2.73674e-09
Miia,F,157,4.29668e-07
Ixchell,F,12,3.28409e-08
Ella-Jade,F,3,8.21022e-09
Bhuvika,F,6,1.64204e-08
Uldrine,F,1,2.73674e-09
Rayha,F,5,1.36837e-08
Latrenda,F,508,1.39026e-06
Shamarra,F,112,3.06515e-07
Lorrinda,F,106,2.90095e-07
Mamtha,F,1,2.73674e-09
Tykiria,F,11,3.01041e-08
Sheri-Lynn,F,1,2.73674e-09
Lizzbeth,F,10,2.73674e-08
Veree,F,5,1.36837e-08
Plousia,F,2,5.47348e-09
Lily-Dene,F,1,2.73674e-09
Chrissoula,F,4,1.0947e-08
Venessa,F,6175,1.68994e-05
Tmeka,F,1,2.73674e-09
Sylvania,F,546,1.49426e-06
Bernessia,F,6,1.64204e-08
Tashelle,F,50,1.36837e-07
So,F,56,1.53257e-07
Ashlay,F,63,1.72415e-07
Mikelann,F,6,1.64204e-08
Grpreet,F,1,2.73674e-09
Dajahnay,F,5,1.36837e-08
Alysah,F,163,4.46089e-07
Nasasha,F,16,4.37879e-08
Quesha,F,5,1.36837e-08
Mckaye,F,5,1.36837e-08
Algean,F,5,1.36837e-08
Ryken,F,5,1.36837e-08
Simora,F,65,1.77888e-07
Yaleyza,F,15,4.10511e-08
Annarosa,F,34,9.30492e-08
Shamsa,F,25,6.84185e-08
Maitreyi,F,28,7.66287e-08
Lynkin,F,6,1.64204e-08
Annaelizabeth,F,26,7.11553e-08
Evrymedeia,F,1,2.73674e-09
Jawanda,F,262,7.17026e-07
Azalya,F,81,2.21676e-07
Asencion,F,110,3.01041e-07
Jasnoor,F,162,4.43352e-07
Haiven,F,234,6.40397e-07
Shehrbano,F,6,1.64204e-08
Tahiya,F,39,1.06733e-07
Lashaunti,F,12,3.28409e-08
Ki,F,106,2.90095e-07
Nayela,F,54,1.47784e-07
Ianah,F,5,1.36837e-08
Classie,F,1625,4.4472e-06
Machayla,F,33,9.03124e-08
Savai,F,1,2.73674e-09
Yeimy,F,375,1.02628e-06
Sangeeta,F,257,7.03342e-07
Ufemia,F,8,2.18939e-08
Kimmy,F,1062,2.90642e-06
Raahi,F,78,2.13466e-07
Kandus,F,43,1.1768e-07
Shawnise,F,97,2.65464e-07
Jozina,F,1,2.73674e-09
Jilma,F,5,1.36837e-08
Kiya,F,3720,1.01807e-05
Jayanne,F,6,1.64204e-08
Ahriel,F,14,3.83144e-08
Zarhli,F,1,2.73674e-09
Omariana,F,21,5.74716e-08
Annzley,F,5,1.36837e-08
Gresia,F,94,2.57254e-07
Malliah,F,1,2.73674e-09
Matiana,F,55,1.50521e-07
Avangaline,F,5,1.36837e-08
Dwight,F,343,9.38702e-07
Kushumavati,F,1,2.73674e-09
Derrell,F,16,4.37879e-08
Reven,F,6,1.64204e-08
Rayel,F,62,1.69678e-07
Jerney,F,154,4.21458e-07
Lafawn,F,88,2.40833e-07
Jaynae,F,42,1.14943e-07
Kalaila,F,15,4.10511e-08
Anajulia,F,131,3.58513e-07
Elsien,F,1,2.73674e-09
Ivye,F,5,1.36837e-08
Daryann,F,5,1.36837e-08
Imali,F,6,1.64204e-08
Marry-Angela,F,1,2.73674e-09
Evlyn,F,928,2.5397e-06
Millarni,F,1,2.73674e-09
Nettina,F,1,2.73674e-09
Solimar,F,385,1.05365e-06
Everlyrose,F,5,1.36837e-08
Cebria,F,5,1.36837e-08
Zaharoula,F,8,2.18939e-08
Noely,F,570,1.55994e-06
Akashiya,F,1,2.73674e-09
Jarae,F,219,5.99346e-07
Karagen,F,12,3.28409e-08
Sharina,F,1220,3.33882e-06
Alvis,F,328,8.97651e-07
Alaizha,F,5,1.36837e-08
Maydene,F,36,9.85227e-08
Trystin,F,284,7.77234e-07
Rimsha,F,108,2.95568e-07
Tennisha,F,44,1.20417e-07
Casondra,F,1151,3.14999e-06
Shania-Jayne,F,1,2.73674e-09
Salia,F,138,3.7767e-07
Tiane,F,80,2.18939e-07
Forest,F,477,1.30543e-06
Marshea,F,175,4.7893e-07
Missouria,F,15,4.10511e-08
Adeana,F,204,5.58295e-07
Challen,F,6,1.64204e-08
Seema,F,1368,3.74386e-06
Dylaney,F,21,5.74716e-08
Kyila,F,26,7.11553e-08
Halia,F,687,1.88014e-06
Doniece,F,44,1.20417e-07
Arbella,F,50,1.36837e-07
Salima,F,517,1.41489e-06
Rheya,F,294,8.04602e-07
Louisiana,F,301,8.23759e-07
Shondelle,F,14,3.83144e-08
Yerania,F,67,1.83362e-07
Dareon,F,7,1.91572e-08
Jordyn-Lily,F,1,2.73674e-09
Lyverne,F,3,8.21022e-09
Sofiagrace,F,33,9.03124e-08
Sheren,F,29,7.93655e-08
Cardelia,F,140,3.83144e-07
Chentel,F,20,5.47348e-08
Laikin,F,47,1.28627e-07
Gissel,F,2459,6.72965e-06
Buity,F,1,2.73674e-09
Amandine,F,62,1.69678e-07
Sazmin,F,1,2.73674e-09
Shineka,F,155,4.24195e-07
Yamina,F,152,4.15985e-07
Daleesa,F,9,2.46307e-08
Eszter,F,8,2.18939e-08
Brizleth,F,5,1.36837e-08
Kulaia-Lee,F,1,2.73674e-09
Hakel,F,1,2.73674e-09
Vronicer,F,1,2.73674e-09
Abreana,F,44,1.20417e-07
Nolen,F,5,1.36837e-08
Ruoxuan,F,1,2.73674e-09
Jeselle,F,190,5.19981e-07
Bibi,F,586,1.60373e-06
Avnoor,F,111,3.03778e-07
Odel,F,5,1.36837e-08
Eline,F,252,6.89659e-07
Noa,F,5040,1.37932e-05
Atasia,F,22,6.02083e-08
Toie,F,6,1.64204e-08
Brittanee-Teneille,F,1,2.73674e-09
Cynitha,F,391,1.07007e-06
Shylah,F,1589,4.34868e-06
Lisania,F,58,1.58731e-07
Scotland,F,303,8.29232e-07
Juilianna,F,5,1.36837e-08
Elmedina,F,10,2.73674e-08
Kiasha,F,187,5.11771e-07
Charneka,F,5,1.36837e-08
Purnell,F,6,1.64204e-08
Ozelma,F,18,4.92613e-08
Meloni,F,352,9.63333e-07
Mee-Yeong,F,1,2.73674e-09
Nilufer,F,17,4.65246e-08
Sabriyyah,F,5,1.36837e-08
Anaili,F,21,5.74716e-08
Jmiyah,F,42,1.14943e-07
Chappla,F,1,2.73674e-09
Ushneek,F,1,2.73674e-09
Ruchie,F,5,1.36837e-08
Rekiah,F,3,8.21022e-09
Nikte,F,19,5.19981e-08
Inga,F,4077,1.11577e-05
Josepine,F,5,1.36837e-08
Modestina,F,1,2.73674e-09
Khesara,F,1,2.73674e-09
Nurhayati,F,1,2.73674e-09
Shuronda,F,92,2.5178e-07
Lyzette,F,350,9.57859e-07
Deriyah,F,112,3.06515e-07
Zaine,F,16,4.37879e-08
Leisly,F,38,1.03996e-07
Angelik,F,206,5.63769e-07
Tysheika,F,18,4.92613e-08
Pille,F,1,2.73674e-09
Chambria,F,15,4.10511e-08
Lenore,F,22803,6.24059e-05
Renezmay,F,18,4.92613e-08
Tian,F,164,4.48825e-07
Feigy,F,54,1.47784e-07
Elisia,F,1830,5.00824e-06
Monickah,F,1,2.73674e-09
Freeda,F,3045,8.33338e-06
Nevaehmarie,F,19,5.19981e-08
Lateasa,F,13,3.55776e-08
Artensia,F,5,1.36837e-08
Kinsli,F,21,5.74716e-08
Chastine,F,50,1.36837e-07
Zuriel,F,321,8.78494e-07
Sharlia,F,1,2.73674e-09
Linsay,F,748,2.04708e-06
Isamarie,F,16,4.37879e-08
Kyari,F,51,1.39574e-07
Marilin,F,782,2.14013e-06
Alberto,F,463,1.26711e-06
Charles,F,12611,3.4513e-05
Brucie,F,27,7.3892e-08
Meryl,F,5271,1.44254e-05
Austie,F,10,2.73674e-08
Nyidhal,F,1,2.73674e-09
Innaya,F,6,1.64204e-08
Ede,F,19,5.19981e-08
Latosia,F,21,5.74716e-08
Immacolatina,F,1,2.73674e-09
Balreet,F,1,2.73674e-09
Eziya,F,5,1.36837e-08
Nolani,F,42,1.14943e-07
Gretl,F,7,1.91572e-08
Shavan,F,5,1.36837e-08
Malin,F,698,1.91025e-06
Kelva,F,1,2.73674e-09
Lamayia,F,7,1.91572e-08
Tynise,F,38,1.03996e-07
Licette,F,24,6.56818e-08
Yasamine,F,28,7.66287e-08
Joleene,F,104,2.84621e-07
Jeisy,F,6,1.64204e-08
Cindy-Jayne,F,1,2.73674e-09
Allissa,F,2108,5.76905e-06
Adashia,F,20,5.47348e-08
To-Nhu,F,1,2.73674e-09
Latryce,F,11,3.01041e-08
Khiala,F,6,1.64204e-08
Malack,F,5,1.36837e-08
Sharay,F,787,2.15381e-06
Neyah,F,107,2.92831e-07
Shimeeka,F,5,1.36837e-08
Aniela,F,877,2.40012e-06
Santiago,F,105,2.87358e-07
Aileen,F,35732,9.77892e-05
Maxtyn,F,5,1.36837e-08
Adelin,F,463,1.26711e-06
Tarha,F,10,2.73674e-08
Ricklinta,F,1,2.73674e-09
Hasiba,F,1,2.73674e-09
Ntasha,F,1,2.73674e-09
Bhanwar,F,1,2.73674e-09
Wilma,F,140823,0.000385396
Darlia,F,13,3.55776e-08
Caryl-Lyn,F,1,2.73674e-09
Alensa,F,1,2.73674e-09
Terah,F,1479,4.04764e-06
Yenisel,F,6,1.64204e-08
Alianna,F,3354,9.17903e-06
Merystea,F,1,2.73674e-09
Lakeicha,F,26,7.11553e-08
Prapawalin,F,1,2.73674e-09
Tiffiani,F,10,2.73674e-08
Quanasia,F,184,5.0356e-07
Allayne,F,13,3.55776e-08
Keniqua,F,5,1.36837e-08
Shoshawna,F,18,4.92613e-08
Naomy,F,1603,4.387e-06
Detria,F,287,7.85445e-07
Roda,F,101,2.76411e-07
Praneet,F,1,2.73674e-09
Maranelle,F,1,2.73674e-09
Xirena,F,5,1.36837e-08
Breyan,F,10,2.73674e-08
Solaris,F,80,2.18939e-07
Latedra,F,36,9.85227e-08
Borgny,F,5,1.36837e-08
Samarria,F,54,1.47784e-07
Gicell,F,12,3.28409e-08
Sundra,F,655,1.79257e-06
Ruthan,F,21,5.74716e-08
Hritika,F,5,1.36837e-08
Swanie,F,5,1.36837e-08
Faella,F,1,2.73674e-09
Jalasia,F,166,4.54299e-07
Joyanna,F,690,1.88835e-06
Artmiss,F,1,2.73674e-09
Aleine,F,32,8.75757e-08
Adalena,F,412,1.12754e-06
Caprichsia,F,1,2.73674e-09
Ruby-May,F,1,2.73674e-09
Rozalyn,F,741,2.02792e-06
Mbalu,F,1,2.73674e-09
Dennai,F,1,2.73674e-09
Liana-Jane,F,1,2.73674e-09
Nalaiyah,F,20,5.47348e-08
Elssa,F,10,2.73674e-08
Achik,F,1,2.73674e-09
Taleika,F,2,5.47348e-09
Simmi,F,2,5.47348e-09
Lillieanne,F,31,8.4839e-08
Price,F,40,1.0947e-07
Kharri,F,5,1.36837e-08
Haeyley,F,1,2.73674e-09
Sommers,F,7,1.91572e-08
Leeor,F,15,4.10511e-08
Hypatia,F,40,1.0947e-07
Tersia,F,30,8.21022e-08
Bradie,F,517,1.41489e-06
Cleoni,F,1,2.73674e-09
Hyeon,F,1,2.73674e-09
Raffie,F,23,6.2945e-08
Meshonda,F,15,4.10511e-08
Deemah,F,6,1.64204e-08
Joyclyn,F,86,2.3536e-07
Emilija,F,231,6.32187e-07
Burkley,F,60,1.64204e-07
Jaia,F,661,1.80899e-06
Yajahira,F,195,5.33664e-07
Clifton,F,444,1.21511e-06
Tayah,F,1310,3.58513e-06
Nastassja,F,587,1.60647e-06
Kharia,F,1,2.73674e-09
Stephaniemarie,F,64,1.75151e-07
Laren,F,592,1.62015e-06
Renane,F,1,2.73674e-09
Lakisha,F,13007,3.55968e-05
Kiera-Jae,F,1,2.73674e-09
Akshika,F,1,2.73674e-09
Angelrose,F,22,6.02083e-08
Nashari,F,13,3.55776e-08
Kykiera,F,1,2.73674e-09
Josiemarie,F,1,2.73674e-09
Serafima,F,13,3.55776e-08
Avaeah,F,10,2.73674e-08
Young-Ae,F,1,2.73674e-09
Jonta,F,33,9.03124e-08
Sulynn,F,5,1.36837e-08
Taknisha,F,6,1.64204e-08
Tanicha,F,5,1.36837e-08
Kristinn,F,5,1.36837e-08
Jakayln,F,6,1.64204e-08
Antina,F,32,8.75757e-08
Laresa,F,431,1.17954e-06
Amoe,F,1,2.73674e-09
Budho,F,1,2.73674e-09
Lealynn,F,5,1.36837e-08
Ihla,F,16,4.37879e-08
Nhu-Quynh,F,1,2.73674e-09
Tateum,F,25,6.84185e-08
Charlierae,F,16,4.37879e-08
Darie,F,41,1.12206e-07
Etdal,F,1,2.73674e-09
Gerline,F,462,1.26437e-06
Desirey,F,284,7.77234e-07
Dasianae,F,10,2.73674e-08
Annay,F,57,1.55994e-07
Taeya,F,359,9.8249e-07
Maiar,F,10,2.73674e-08
Torriyah,F,5,1.36837e-08
Althia,F,212,5.80189e-07
Maven,F,452,1.23701e-06
Ohemaa,F,49,1.341e-07
Sheila-Jean,F,1,2.73674e-09
Tjunkaya,F,1,2.73674e-09
Twanna,F,1362,3.72744e-06
Brenlyn,F,81,2.21676e-07
Aralis,F,5,1.36837e-08
Linay,F,5,1.36837e-08
Lillee-Mae,F,1,2.73674e-09
Logan-Maree,F,1,2.73674e-09
Mahrissa,F,1,2.73674e-09
Yorleni,F,31,8.4839e-08
Shengjie,F,1,2.73674e-09
Eadan,F,1,2.73674e-09
Yaretzy,F,2271,6.21514e-06
Meshawn,F,116,3.17462e-07
Jadeyn,F,675,1.8473e-06
Markiya,F,200,5.47348e-07
Kymiah,F,122,3.33882e-07
Aubery,F,93,2.54517e-07
Logeshwari,F,1,2.73674e-09
Vei-Mei,F,1,2.73674e-09
Evolet,F,1139,3.11715e-06
Detric,F,5,1.36837e-08
Ihuoma,F,5,1.36837e-08
Amolia,F,1,2.73674e-09
Coraine,F,5,1.36837e-08
Surai,F,55,1.50521e-07
Angelikh,F,1,2.73674e-09
Qotrunnada,F,1,2.73674e-09
Tiaria,F,102,2.79148e-07
Mame,F,582,1.59278e-06
Jesekah,F,1,2.73674e-09
Shareny,F,5,1.36837e-08
Morlene,F,15,4.10511e-08
Pameal,F,5,1.36837e-08
Damirah,F,11,3.01041e-08
Sundos,F,5,1.36837e-08
Olethia,F,47,1.28627e-07
Gurvir,F,10,2.73674e-08
Tanaeyah,F,1,2.73674e-09
Chardon,F,20,5.47348e-08
Shaelani,F,1,2.73674e-09
Inmaculada,F,1,2.73674e-09
Elicia,F,4338,1.1872e-05
Orilla,F,225,6.15767e-07
Junietta,F,5,1.36837e-08
Thorene,F,1,2.73674e-09
Shekayla,F,6,1.64204e-08
Grenda,F,77,2.10729e-07
Kimblyn,F,6,1.64204e-08
Theopa,F,5,1.36837e-08
Jovey,F,47,1.28627e-07
Zakira,F,412,1.12754e-06
Dakera,F,10,2.73674e-08
Allesandra,F,172,4.70719e-07
Harliv,F,26,7.11553e-08
Rimia,F,1,2.73674e-09
Nairene,F,1,2.73674e-09
Meryssa,F,23,6.2945e-08
Florentina,F,1028,2.81337e-06
Dalena,F,1067,2.9201e-06
Keandre,F,9,2.46307e-08
Lenuccia,F,1,2.73674e-09
Ramanpreet,F,20,5.47348e-08
Aleciram,F,10,2.73674e-08
Liljana,F,5,1.36837e-08
Louna,F,95,2.5999e-07
Murlee,F,23,6.2945e-08
Randal,F,169,4.62509e-07
Chealsie,F,44,1.20417e-07
Darpan,F,1,2.73674e-09
Amelia-Lea,F,1,2.73674e-09
Lymar,F,1,2.73674e-09
Lemisha,F,10,2.73674e-08
Janete,F,88,2.40833e-07
Jasicianna,F,6,1.64204e-08
Saiyuri,F,33,9.03124e-08
Hetaf,F,1,2.73674e-09
Kaimarie,F,11,3.01041e-08
Vilossyn,F,1,2.73674e-09
Ruqayah,F,35,9.57859e-08
Pelma,F,20,5.47348e-08
Lavonne,F,16503,4.51644e-05
Akia,F,1607,4.39794e-06
Lessia,F,23,6.2945e-08
Genisis,F,704,1.92667e-06
Yasna,F,58,1.58731e-07
Penni,F,2609,7.14016e-06
Rhuah,F,1,2.73674e-09
Alanie,F,624,1.70773e-06
Dawnell,F,379,1.03722e-06
Janece,F,661,1.80899e-06
Kassaundra,F,417,1.14122e-06
Melica,F,27,7.3892e-08
Annil,F,7,1.91572e-08
Kireina,F,5,1.36837e-08
Mileyna,F,5,1.36837e-08
Janissa,F,484,1.32458e-06
Cindie,F,1028,2.81337e-06
Markeisia,F,1,2.73674e-09
Claudelle,F,31,8.4839e-08
Rotonya,F,8,2.18939e-08
Madgie,F,579,1.58457e-06
Leanza,F,91,2.49043e-07
Lacci,F,5,1.36837e-08
Hikma,F,47,1.28627e-07
Hadin,F,1,2.73674e-09
Eviee,F,13,3.55776e-08
Terenna,F,5,1.36837e-08
Jimesha,F,77,2.10729e-07
Taliqua,F,1,2.73674e-09
Mutiara,F,1,2.73674e-09
Amarni,F,12,3.28409e-08
Hasandi,F,1,2.73674e-09
Jany,F,109,2.98305e-07
Graice,F,22,6.02083e-08
Tekiesha,F,2,5.47348e-09
Rosemond,F,493,1.34921e-06
Yareily,F,6,1.64204e-08
Allynne,F,1,2.73674e-09
Kaprice,F,395,1.08101e-06
Sibohn,F,1,2.73674e-09
Lyann,F,278,7.60814e-07
Samoan,F,11,3.01041e-08
Jelina,F,199,5.44611e-07
Quintera,F,40,1.0947e-07
Heartlee,F,24,6.56818e-08
Alida,F,4569,1.25042e-05
Orlantha,F,11,3.01041e-08
Ellanore,F,215,5.88399e-07
Elly-May,F,3,8.21022e-09
Estherlene,F,13,3.55776e-08
Maranatha,F,318,8.70284e-07
Sherea,F,258,7.06079e-07
Lairen,F,5,1.36837e-08
Koda,F,248,6.78712e-07
Leesah,F,2,5.47348e-09
Aaleeya,F,5,1.36837e-08
Chabelli,F,6,1.64204e-08
Marlia,F,71,1.94309e-07
Gitanjali,F,40,1.0947e-07
Willameta,F,1,2.73674e-09
Deborah-Ann,F,7,1.91572e-08
Menley,F,14,3.83144e-08
Bobbisue,F,11,3.01041e-08
Kyla-Renae,F,1,2.73674e-09
Massan,F,1,2.73674e-09
Aubreyella,F,46,1.2589e-07
Kaiyu,F,1,2.73674e-09
Donatella,F,252,6.89659e-07
Kiamora,F,7,1.91572e-08
Nyasa,F,10,2.73674e-08
Shiyana,F,10,2.73674e-08
Dejanira,F,100,2.73674e-07
Ianoula,F,1,2.73674e-09
Normandy,F,53,1.45047e-07
Jacqulene,F,144,3.94091e-07
Kole,F,53,1.45047e-07
Brydie-Anne,F,1,2.73674e-09
Jiliana,F,38,1.03996e-07
Zanaii,F,5,1.36837e-08
Katharine,F,43733,0.000119686
Teniyah,F,179,4.89877e-07
Razaz,F,1,2.73674e-09
Ashley-Rose,F,1,2.73674e-09
Davnet,F,1,2.73674e-09
Skyrah,F,98,2.68201e-07
Renli,F,17,4.65246e-08
Vickianne,F,1,2.73674e-09
Konstantina,F,529,1.44774e-06
Yvelisse,F,45,1.23153e-07
Zury,F,555,1.51889e-06
Sasha-Leigh,F,1,2.73674e-09
Midgie,F,30,8.21022e-08
Shaden,F,218,5.96609e-07
Hanane,F,5,1.36837e-08
Imira,F,10,2.73674e-08
Georgeena,F,1,2.73674e-09
Jacgueline,F,6,1.64204e-08
Jenni,F,5776,1.58074e-05
Tychell,F,10,2.73674e-08
Emelene,F,31,8.4839e-08
Jimmesha,F,12,3.28409e-08
Tonza,F,5,1.36837e-08
Tarisse-Marie,F,1,2.73674e-09
Cassandrea,F,24,6.56818e-08
Kouri,F,18,4.92613e-08
Malay,F,108,2.95568e-07
Gori,F,6,1.64204e-08
Wynde,F,23,6.2945e-08
Tehra,F,51,1.39574e-07
Rosaland,F,344,9.41439e-07
Nikeeta,F,41,1.12206e-07
Keeley-Marie,F,1,2.73674e-09
Noorpreet,F,1,2.73674e-09
Kuan,F,1,2.73674e-09
Nova,F,20535,5.6199e-05
Trinese,F,25,6.84185e-08
Maimouna,F,434,1.18775e-06
Amahlia,F,9,2.46307e-08
Zaleyah,F,29,7.93655e-08
Mallarie,F,220,6.02083e-07
Jamerica,F,89,2.4357e-07
Rakell,F,54,1.47784e-07
Gerleila,F,1,2.73674e-09
Carmin,F,860,2.3536e-06
Mijoy,F,12,3.28409e-08
Patrizia-Orsola,F,1,2.73674e-09
Jalini,F,1,2.73674e-09
Tykiera,F,63,1.72415e-07
Crettie,F,5,1.36837e-08
Ruofan,F,1,2.73674e-09
Anagabriel,F,6,1.64204e-08
